Year,SIM1,SIM2,SIM3,SIM4,SIM5,SIM6,SIM7,SIM8,SIM9,SIM10,SIM11,SIM12,SIM13,SIM14,SIM15,SIM16,SIM17,SIM18,SIM19,SIM20,SIM21,SIM22,SIM23,SIM24,SIM25,SIM26,SIM27,SIM28,SIM29,SIM30,SIM31,SIM32,SIM33,SIM34,SIM35,SIM36,SIM37,SIM38,SIM39,SIM40,SIM41,SIM42,SIM43,SIM44,SIM45,SIM46,SIM47,SIM48,SIM49,SIM50,SIM51,SIM52,SIM53,SIM54,SIM55,SIM56,SIM57,SIM58,SIM59,SIM60,SIM61,SIM62,SIM63,SIM64,SIM65,SIM66,SIM67,SIM68,SIM69,SIM70,SIM71,SIM72,SIM73,SIM74,SIM75,SIM76,SIM77,SIM78,SIM79,SIM80,SIM81,SIM82,SIM83,SIM84,SIM85,SIM86,SIM87,SIM88,SIM89,SIM90,SIM91,SIM92,SIM93,SIM94,SIM95,SIM96,SIM97,SIM98,SIM99,SIM100
2032,9.892477,4.487854,7.678097,10.35095,3.408085,2.890423,4.853664,6.130055,6.071432,4.058266,2.749302,9.566332,3.820332,4.399415,6.845074,4.133465,6.303612,2.530551,7.460222,7.920085,6.306495,5.485664,8.271066,7.093134,2.748563,12.88016,1.259472,2.613893,3.109997,2.912306,8.924578,1.793446,3.187575,9.422548,9.736228,6.444474,6.392461,3.837029,3.16382,6.095102,6.578425,4.484615,6.127327,8.978668,8.358723,5.615648,4.761462,5.308734,2.81033,4.477801,2.39637,3.655737,2.565737,7.282803,2.239313,4.117305,2.824552,7.510635,3.469841,6.502363,2.55237,4.936235,3.881596,4.273475,6.23794,3.200403,4.924308,5.297721,6.048682,3.125947,6.301593,7.626032,2.12115,7.310989,3.123813,5.086749,2.750614,2.068106,3.924469,4.902638,1.139059,1.843144,4.71645,2.84353,2.555886,9.024348,4.852107,10.10034,2.938065,5.165048,4.239886,3.789763,4.359844,4.376055,2.504615,6.007601,3.979555,6.492071,6.164922,5.868054
2033,11.36329,3.884174,7.341516,11.77714,7.099022,4.146695,6.247085,3.835197,5.772812,4.40782,3.027848,11.28514,3.744084,3.858356,7.340903,3.602657,6.010982,2.134904,7.38516,4.680683,8.636056,5.122172,6.556813,3.000285,2.496467,11.36628,1.801588,4.700815,2.801465,2.939015,9.298589,3.504691,5.62247,8.268996,6.894045,4.356303,5.759671,4.851603,4.067515,5.097219,7.470724,2.990056,7.030672,9.888687,7.333656,5.18008,5.563073,2.496933,2.117745,5.890041,5.491064,4.28515,2.275182,8.600402,4.084563,5.448914,3.510731,7.943333,4.899655,5.560471,3.382796,7.049347,4.274778,5.683402,2.969303,2.3331,5.783599,1.93475,5.78745,5.289812,5.660109,5.701894,2.59288,8.432013,4.725539,3.936728,3.001542,3.001117,4.75427,3.856214,2.748169,5.087668,5.281238,2.84804,4.488361,8.336683,5.02218,10.54234,2.789333,4.941503,5.916139,6.023967,6.219124,3.318712,3.570043,4.240969,3.071267,8.588106,4.917967,5.615372
2034,10.65651,5.324084,5.366491,9.809929,6.071392,7.122599,6.824835,2.108826,5.493232,4.506063,4.100523,12.97549,2.634832,4.9768,6.233191,4.154252,4.95278,3.040561,9.489603,7.704998,8.35564,5.268338,6.792762,5.250957,4.537937,10.35359,2.938176,2.360866,6.256267,4.319999,9.299666,5.92912,4.917079,8.613641,7.060011,4.115538,7.138001,3.513086,5.435283,4.045008,6.323084,4.177536,7.587088,7.45035,5.948975,2.853814,5.826568,3.910755,2.677464,6.210992,4.762101,3.901829,3.549717,6.70738,4.503944,6.368438,3.723748,6.9596,5.110357,7.411601,3.725138,7.757099,3.818846,4.737319,3.494831,2.513137,5.096978,3.808709,7.331143,4.069981,5.49131,7.536971,5.161604,7.155589,4.502558,4.737152,5.214565,2.95393,5.108911,3.630957,5.529734,3.747281,4.279097,6.680197,5.562456,8.80229,6.020631,12.3544,2.948608,5.896078,4.141515,6.61411,7.637233,3.919663,4.629206,5.378157,4.578497,5.636647,4.875413,6.062087
2035,8.616556,3.597347,5.169774,11.15887,4.397878,3.603227,5.537988,4.369875,5.416101,4.987752,5.782734,12.53192,5.082141,2.225836,5.332491,4.389261,4.439523,3.82812,7.002689,6.746077,10.00043,6.712763,8.911505,3.485446,5.60184,11.65693,3.837185,4.196789,5.807852,4.446326,9.424699,6.369816,8.706241,8.249858,7.636197,2.416209,9.464524,0.718425,2.540446,5.413986,6.421022,2.64519,5.561096,10.02906,5.816677,3.478126,6.345712,7.028829,4.432261,4.586248,3.780235,3.499421,3.53341,6.606545,3.773592,5.618577,4.172458,7.953725,2.640535,8.116153,2.58165,5.213923,3.654548,4.62884,3.428161,6.665213,5.760126,4.636936,7.516301,2.455835,7.841162,6.359484,1.01541,8.549082,6.098737,4.847373,2.883581,2.730499,4.510971,3.491697,4.955306,3.77634,6.436846,2.779375,9.217282,6.988991,7.243906,10.69999,4.733766,4.468063,2.763924,6.543614,7.869524,2.679238,2.26965,4.449654,2.822541,5.76709,3.547932,4.776872
2036,9.932552,3.83671,6.581584,12.64582,5.035351,4.406035,6.442411,3.769849,6.146563,6.571963,4.538364,10.84607,3.562216,3.074684,5.302225,5.851159,4.120431,4.083774,9.139514,6.932394,6.839978,2.096802,13.1019,4.509901,5.046707,11.24523,1.502975,4.683057,4.369517,5.356908,10.1547,5.00215,8.560326,6.353385,5.064332,1.763577,11.05054,1.802612,3.319364,7.178323,4.717477,4.081991,6.394404,6.692714,5.312125,2.269125,5.446769,7.403166,5.117513,4.066195,2.640715,5.059001,4.053596,6.634017,0.928372,4.5936,4.562248,9.466673,1.050553,6.644705,3.702393,5.166251,3.98839,6.491086,4.827255,4.852572,6.429281,4.002918,7.84738,4.083307,6.637758,7.230152,2.079939,8.535356,6.493831,4.640901,4.440044,3.842123,4.195192,4.092412,2.781555,4.516852,6.563328,4.560573,7.515374,7.869397,6.82423,10.66015,2.963822,2.834926,3.363967,7.125559,6.458397,2.511128,4.340185,5.590923,2.740052,2.416939,4.277567,3.818341
2037,7.664012,4.70756,3.963158,14.03343,5.086617,6.330264,6.358342,5.74915,6.584313,7.30325,4.95856,10.16166,2.6638,4.857046,6.016308,4.067366,2.82804,4.304012,6.575657,7.674001,6.685913,1.030493,12.2547,4.055575,2.780314,11.87968,2.371141,5.770917,5.530347,6.455964,11.64614,4.066525,6.895848,5.281091,5.075173,3.311524,11.20411,3.334797,4.014177,4.573901,6.047029,3.625917,5.717467,8.64233,5.035133,3.113256,4.791356,7.218439,6.305594,5.490372,3.052549,4.107775,5.138758,7.144593,2.021523,5.816029,4.596596,9.813904,0.536974,8.530962,6.546286,7.396063,2.862422,4.683553,5.269585,3.950199,8.320462,1.966348,7.384253,4.689627,7.25139,4.024816,2.825427,8.884293,4.931623,5.209955,1.793169,2.851804,2.480807,5.568642,2.276057,2.7028,7.560307,5.204937,9.131523,9.833342,9.107201,9.971514,1.621619,4.481564,3.312819,6.85297,7.16407,3.145657,7.211851,2.097632,3.951944,2.020539,1.659427,3.541487
2038,9.217684,5.056048,4.09092,12.53626,4.422881,7.481357,6.692118,3.378934,7.349696,7.587733,6.958633,10.48227,2.472948,4.88001,7.479222,4.464176,2.197487,5.60306,8.526381,8.481965,5.950858,3.727703,8.694904,2.100663,3.136606,13.48008,5.444725,6.089857,5.540514,4.824425,11.71135,5.106652,6.514626,8.342204,4.839896,3.945499,12.94184,6.248289,2.347187,6.059015,4.622736,3.056717,5.986993,9.619348,6.613395,4.047834,4.933358,9.159051,5.885576,5.456864,2.57624,5.852502,6.345055,9.135384,3.219882,4.717564,4.725633,7.936958,1.188855,9.521252,2.405673,5.4546,3.577773,5.153627,4.710393,3.550847,9.264246,3.478777,5.069708,5.190761,6.072843,3.416903,0.987326,9.271987,5.457676,6.057644,3.934308,2.910804,3.419126,3.688158,2.557723,3.147826,8.581794,7.216087,7.129834,8.998883,8.845873,11.76599,1.293092,7.875653,4.228182,7.502933,7.399107,5.652858,8.754401,4.968373,5.033877,5.719939,2.356309,4.616966
2039,9.171122,2.089906,2.782317,14.43718,4.135434,6.330332,5.997086,4.704205,6.83818,3.636678,8.642668,7.223715,4.160947,1.796463,4.380338,3.248244,4.969509,3.639937,8.335631,7.015425,5.988604,3.429447,9.719627,2.79776,3.962811,12.57362,5.479209,4.784515,8.138134,5.265025,13.1073,5.826459,9.151922,9.292861,1.328379,3.728795,14.98143,2.914684,2.702925,7.604017,3.692681,5.414016,8.513026,7.928674,7.436548,6.076342,2.167207,8.203288,4.725146,3.59617,3.548392,3.584297,6.328851,9.441792,3.702994,3.591593,3.694779,6.646558,1.935812,5.33615,3.817488,6.294205,5.127873,8.06049,4.582308,3.749411,10.73323,3.118124,4.638756,5.929875,7.227629,5.629385,3.768611,12.29678,5.192758,4.222442,3.032851,4.375219,3.822479,4.797595,4.147816,1.528716,6.147542,4.911243,6.564408,8.069137,7.149482,13.49111,1.59445,5.271846,5.668184,7.435514,7.23628,3.745542,6.849926,6.978492,4.897254,3.626083,3.161523,3.956726
2040,8.040082,2.454198,4.630663,14.6907,4.472239,3.937565,8.006962,4.954733,6.142867,3.933408,7.380455,7.070184,3.587839,2.505812,4.493251,4.189875,2.517946,5.179528,8.184876,7.159723,6.9037,5.229175,7.372629,3.355224,3.102722,11.81002,4.052451,3.975503,5.934653,5.163582,12.66908,5.873619,7.188591,11.85486,1.508642,2.704728,16.48543,2.281043,5.895512,7.48112,2.960891,4.873898,7.896232,9.420614,5.226618,5.966518,2.187178,7.582632,6.959696,4.910179,3.288341,4.282237,8.434313,8.821399,2.637689,4.373013,2.782622,4.76794,4.460482,6.33256,2.048185,5.686539,3.931263,4.100441,7.069988,5.574181,9.706457,3.485149,6.318292,6.984827,8.076389,6.969399,4.657479,10.34764,4.2259,3.742577,3.267435,5.865427,3.410184,4.799711,1.657537,3.02782,8.677679,4.401127,4.952973,7.083033,6.911734,13.5376,3.653986,4.933556,6.088484,7.215786,5.443709,4.545283,2.515159,5.74826,5.557344,3.352522,5.907068,4.648124
2041,7.230267,4.171857,2.979384,14.15734,2.414067,6.331087,7.68475,4.034685,3.192246,3.778549,5.707434,8.245865,3.582128,3.922019,2.5081,3.979428,2.664149,4.336625,10.24983,8.746045,7.266491,5.939298,8.109646,4.288561,1.419288,12.62454,5.256844,4.711167,7.008488,5.541911,10.61014,4.320758,5.795959,10.02685,6.170854,3.283021,15.79104,6.121531,4.193113,6.163005,5.886347,3.004152,6.943888,9.886548,6.900705,6.171732,3.102459,8.961383,6.066236,6.775371,2.573209,1.594652,9.401983,10.4544,1.660004,6.839212,3.580108,5.021078,6.770116,4.91713,2.181199,5.020126,3.912627,6.246022,3.545758,3.161503,10.56318,6.608999,6.582301,5.878174,5.737872,6.312232,5.311597,8.809985,3.616061,5.322951,5.251177,6.76161,6.001243,3.982145,3.839567,2.590969,8.895921,4.469121,6.39384,4.348772,9.115114,13.71963,3.75044,8.095472,7.831191,5.057338,8.243074,1.670975,3.111133,5.957438,5.296241,3.328721,5.394218,5.102623
2042,3.512933,4.163566,1.67889,12.25228,4.333905,5.364404,8.167229,3.567291,6.109119,3.220203,6.522244,9.845166,2.114507,4.097775,2.315294,2.71545,7.177968,5.000061,12.14749,8.792108,6.155869,6.430065,11.16752,6.116685,1.562933,15.08376,3.25484,5.412813,7.206181,5.045936,11.86898,5.451162,4.170665,10.32608,2.888355,4.430037,15.54992,6.072448,3.085004,4.740517,5.583787,4.168558,6.45666,11.72523,6.285176,4.377162,1.93326,9.862792,5.017903,5.041395,3.407276,0.864335,7.847828,12.49039,1.261866,5.871216,4.398767,9.952407,3.780453,5.185593,3.965916,5.119,1.906907,7.084382,1.900269,1.216617,11.88421,4.544726,5.425387,6.372955,7.254739,7.32106,4.692489,8.705213,3.635152,5.16354,2.654066,6.273895,5.15365,3.493669,3.005745,2.821639,12.88298,1.874249,9.026347,5.922383,10.59508,13.64887,3.773645,7.583416,9.578119,5.527459,8.617683,2.521275,6.57612,3.958087,2.262995,5.721781,5.80695,2.238917
2043,2.804221,7.304253,0.667753,12.04655,4.944375,4.962299,7.388329,4.867572,2.864712,3.887848,9.683196,9.193398,2.343093,5.606153,4.3519,3.028047,6.479856,4.42195,11.67655,11.25332,6.23319,5.942856,13.13002,4.416257,2.789506,15.34098,4.378177,5.39211,3.886076,4.514353,12.27091,7.148324,5.093262,9.721461,3.246598,6.966515,15.07577,4.508779,3.834259,5.422957,5.012595,2.602681,6.068155,10.07455,6.417159,1.05243,3.280955,9.628905,5.71958,6.07347,5.759888,4.240928,7.116353,9.978671,3.888375,4.351165,2.140628,7.233421,1.986054,7.668936,2.235416,5.548835,3.29659,6.879818,3.181014,2.290589,10.17203,5.655456,6.272339,7.249012,8.355035,7.47184,5.89929,10.23613,4.148205,2.724457,4.293109,5.856601,6.258491,4.255653,3.617966,1.821965,9.331543,4.351401,9.39673,8.524528,6.045757,14.45556,4.553662,7.783511,9.317073,9.623905,7.14659,1.639157,6.78986,5.664747,1.945839,3.266616,3.824012,2.879273
2044,2.604271,4.043079,3.380804,10.67349,5.149849,3.164276,7.328927,3.058975,4.892004,1.610938,9.03033,10.66633,3.672797,6.703458,4.848667,2.589418,6.585356,1.948074,12.83742,8.663562,6.421183,5.750749,13.9146,4.607412,4.082585,17.02811,5.039119,7.082178,4.854957,3.751984,14.26167,7.262164,6.245429,9.759726,4.80431,3.214598,14.2891,4.072516,4.189054,4.167372,4.920711,3.735373,6.175634,7.974412,9.398889,2.913911,5.08037,8.699485,4.945901,5.441315,5.984485,5.243698,6.756944,9.683085,5.280216,4.154716,2.663896,8.559102,3.777738,9.264766,1.758887,6.806682,4.527421,5.795497,3.602237,3.47568,11.39217,4.595835,8.096238,6.3577,6.460986,7.968733,5.453981,11.52812,7.002002,2.571301,4.133552,7.914692,7.933243,4.646338,3.283782,1.252587,8.011204,5.218438,8.299674,10.10972,7.658697,13.39116,6.35991,9.224275,7.4604,6.9717,6.039485,3.180307,7.977708,6.867169,4.23565,3.312005,4.897919,5.784173
2045,3.550968,6.422291,0.904058,10.75213,5.807503,2.866309,7.075605,3.750544,3.854065,2.438649,6.867559,9.62635,2.361456,5.97718,5.316815,1.293073,0.682877,3.151104,14.65948,9.3621,7.909731,4.810628,13.2794,3.964076,2.814913,10.768,5.851671,6.600297,6.650069,6.14173,13.37248,7.74413,7.810583,11.42018,5.48089,4.344016,15.16153,2.340793,4.812791,4.514508,3.905918,2.642682,7.576352,7.015538,7.401391,5.454243,5.422267,8.397156,4.60558,6.410242,5.358418,5.374611,5.74157,10.92381,1.964465,5.30776,5.625436,9.609284,4.331746,8.207336,3.529005,7.954193,7.064835,6.897973,2.141768,6.134571,11.04859,4.427497,7.891981,6.524173,7.595008,7.993182,5.022438,12.00407,6.493083,3.440637,4.244338,9.365393,12.39398,4.780032,4.132718,3.192552,6.620553,3.586991,8.717537,8.920157,7.640555,11.91482,5.108165,10.75709,7.976808,7.956807,6.448929,5.31691,7.875458,6.538408,2.641996,4.315709,4.125015,4.474684
2046,3.937277,4.467555,2.349551,12.67391,6.844234,3.103741,7.518749,5.003108,4.597879,3.327636,8.369905,11.03474,1.91771,9.456457,4.776954,3.494486,2.259378,3.099509,12.28178,9.83102,8.669935,3.088751,15.44058,5.117401,2.186435,12.42473,8.194042,6.022485,5.68965,3.501955,14.48567,6.96882,4.594919,11.7742,0.776168,5.961175,15.52978,4.649277,3.642562,5.056019,3.986525,3.711659,6.598417,3.65588,6.594089,6.181746,8.524898,5.486576,4.868798,6.965957,4.042869,5.295681,6.929591,10.90664,-0.72586,5.119236,5.883893,7.981322,5.008294,8.661555,2.959219,8.443973,6.026806,4.499003,3.607295,3.098662,11.17928,3.228979,6.399427,6.852016,8.823423,10.13367,4.359352,10.67291,8.064355,1.633324,5.716105,10.45698,10.16557,4.16399,2.693616,5.669486,7.089671,3.696297,5.395598,7.996346,7.776828,10.79854,4.540552,10.25472,9.614575,6.897429,6.936522,5.513582,11.94248,8.157634,3.880807,5.185698,5.238837,3.8971
