Year,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6
2051,665352.351298821,673041.027061997,661942.129657375,653632.130468616,653864.870268615,652876.459587868
2052,668835.303364127,677519.114251861,666315.788508142,657699.907602651,657995.058402955,657107.624853095
2053,708415.535091006,715750.27360993,705666.162493517,696700.305728635,696963.229327587,696021.168168667
2054,690237.914460951,698391.245232043,688490.262624358,679189.31203997,679617.876573752,678573.689566564
2055,607949.585574998,615051.845083976,604812.97843868,596459.762340323,596764.747619503,595657.541376491
2056,666118.839279592,675389.652206937,664693.80792374,655551.590069588,655819.648817373,654891.834441159
2057,678951.549396967,687763.496873437,677398.884515352,667890.15455591,668344.750927437,667188.509780914
2058,838473.845927937,846488.757580032,835698.111601125,827232.3405575,827636.456548869,826501.782300025
2059,673385.472224464,681668.374491275,670530.744625833,661698.543664646,662167.723144051,660968.141650817
2060,635102.398960735,643313.62751487,633000.126328666,623358.231229989,623669.401409927,622680.35002072
2061,642155.051945933,650242.111107593,639877.134083621,631135.570505023,631517.344201521,630538.462546924
2062,657251.74018588,664796.180433331,653891.19244219,645001.802365661,645180.226426026,644374.437825915
2063,598289.283212037,606878.088556866,595906.121368029,587683.580136041,587848.372340371,586996.029665685
2064,573883.730928302,582210.65359114,571320.373045902,562586.689268542,562936.385977577,562064.9867156
2065,561662.985311791,569243.302927927,558858.363877689,549896.975856829,550072.260852241,549239.863658501
2066,1333106.5736015,1341792.19847019,1330518.11109343,1322055.60292484,1322377.40992843,1321416.37343718
2067,697767.288694566,706056.347494233,695654.418585762,687120.438828948,687376.543549874,686476.185937657
2068,655759.036642477,663945.958099392,654295.666572838,644344.904702659,644730.088368335,643734.334916893
2069,717027.129374252,725684.21174384,715157.333674036,705771.125372204,706061.414670806,705101.626280688
2070,569306.458570408,577410.118035337,566644.759182625,558091.708313761,558380.535002201,557291.661889011
2071,779090.431797337,786833.563401305,775632.920485306,767608.677512103,768013.879301572,767049.090677969
2072,522953.472312239,530358.861247311,519729.107332994,511194.435904408,511560.072365039,510432.502682026
2073,503208.480745308,511177.106726124,500663.803485929,491654.285473423,492103.537968477,490992.389662217
2074,633597.639362064,640306.446803999,630731.398262129,621957.019705517,622336.781055786,621335.287077241
2075,556209.854010204,563128.217966019,553828.144502023,544169.754444785,544675.276373441,543580.905818304
2076,625924.921798043,633898.31928487,623163.322672652,614599.68553219,614874.593467768,614035.264178492
2077,588057.277646386,597068.307707359,585715.888641555,576922.512000532,577235.936401393,576333.448397204
2078,592281.249776728,600766.895905326,590145.820425728,581131.779218069,581380.155728343,580506.399711963
2079,668384.739808984,675407.959010581,665738.590068766,656705.935840671,657108.437638432,656094.852659642
2080,902875.508108605,910135.63855907,900188.993063438,891445.034101035,891615.280198517,890782.907118967
2081,724973.344752187,733738.457258631,722043.727978987,713529.212692003,713661.008438609,712880.299442699
2082,750944.322933593,759245.770405583,748952.627920275,740153.256945616,740591.086884843,739518.659762808
2083,680355.682747825,688156.907844085,677619.906011542,669112.927844174,669501.802184538,668552.618276539
2084,707827.019112913,716164.939692002,704829.329576735,696336.595392523,696649.488349293,695572.467436363
2085,723679.321196659,731858.268009518,721401.859035193,712194.832670031,712680.343448428,711535.591068549
2086,622300.581652541,630992.102661142,619195.777222467,610874.001378412,611210.609605563,610149.712691834
2087,635793.347899312,643871.440922425,633132.691770831,624529.161198276,624672.526815573,623838.352479736
2088,685289.329500699,693736.326002308,682643.654150421,674283.0196337,674571.102334935,673738.116585538
2089,716183.207446885,723692.388602882,713668.477487078,704802.908403247,705073.525015994,704117.636404042
2090,883013.227695588,890979.463201602,880974.476311919,872172.786634431,872436.155890542,871605.329622225
2091,580585.989031161,588700.29130714,577883.849579601,568954.366660793,569349.794043068,568312.857059351
2092,563912.073058265,572120.727584355,561229.601356183,552471.749491756,552836.105571251,551850.296296668
2093,667749.989169057,677258.951621568,665790.016500556,656487.489733031,656912.256996716,655809.905252126
2094,734665.88852937,743073.564245183,731946.221748686,723282.669556918,723750.671851072,722719.730057713
2095,659448.833381268,667640.713157733,656895.826437776,648120.883868689,648440.800592505,647601.116900823
2096,854393.506420963,862390.430369651,851614.238017245,843339.683143141,843677.689063456,842625.060351615
2097,622547.420585689,628525.498570307,618611.850969355,610022.067815436,610570.983431748,609485.455874391
2098,582089.605148185,589753.402354512,579314.152812916,570432.33574547,570921.631484799,569851.064486462
2099,629957.862879839,638183.404018469,626525.414475867,618287.90719725,618516.978133686,617641.835179852
2100,501193.591028448,508811.222792979,497958.271079454,489426.358655822,489682.93386162,488790.439470164
